crt.sh ID,Logged At,Not Before,Not After,Common Name,Matching Identities,Issuer Name
1435360516,2019-05-01,2019-02-22,2020-03-22,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1442955047,2019-05-06,2019-05-06,2020-06-06,"helpdesk.epicgames.net","helpdesk.epicgames.net
helpdesk.it.epicgames.net
servicedesk.epicgames.net
servicedesk.it.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1477300601,2019-05-16,2019-05-16,2021-05-15,"deploymentserver.splunk.epicgames.net","deploymentserver.splunk.epicgames.net
heavyforwarder.splunk.epicgames.net
syslog.splunk.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
1477300290,2019-05-16,2019-05-16,2021-05-15,"tableau.it.epicgames.com","tableau.epicgames.net","C=US, O=DigiCert Inc, OU=www.digicert.com, CN=GeoTrust TLS RSA CA G1"
1478676582,2019-05-16,2019-05-16,2020-06-16,"*.on.epicgames.net","*.mgmt.use1a.on.epicgames.net
*.on.epicgames.net
*.transit.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1499261321,2019-05-22,2019-05-22,2020-06-22,"*.on.epicgames.net","*.live.use1a.on.epicgames.net
*.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1499988620,2019-05-22,2019-05-22,2020-06-22,"*.epicgames.com","*.epicgames.net
*.live.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1550394395,2019-06-07,2019-06-07,2020-07-07,"*.analytics-eos.dev.use1a.on.epicgames.net","*.analytics-eos.dev.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1550395059,2019-06-07,2019-06-07,2020-07-07,"*.analytics-eos.live.use1a.on.epicgames.net","*.analytics-eos.live.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1573600709,2019-06-13,2019-03-14,2020-04-14,"*.ol.epicgames.net","*.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1593939704,2019-06-19,2019-06-19,2020-07-19,"devportal.use1a.on.epicgames.net","devportal.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1593949466,2019-06-19,2019-06-19,2020-07-19,"*.devportal.use1a.on.epicgames.net","*.devportal.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1593952172,2019-06-19,2019-06-19,2020-07-19,"*.dev-portal.dev.use1a.on.epicgames.net","*.dev-portal.dev.use1a.on.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
1594407373,2019-06-20,2019-06-20,2020-07-20,"*.epicgames-lt.ol.epicgames.net","*.epicgames-lt.ol.epicgames.net","C=US, O=Amazon, OU=Server CA 1B, CN=Amazon"
